Gender,Program,Entrance,GPA,Thai,Math,Sci,Social,Eng,Abillity1,Abillity2,Abillity3,Abillity4,Abillity5,Abillity6,Abillity7,Abillity8,Abillity9,Abillity10,Abillity11,Abillity12,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Skillg1,Skillg2,Skillg3,Skillg4,Skillg5,Skillg6,Skillp1,Skillp2,Skillp3,Skillp4,Skillp5,Skillp6,Interest1,Interest2,Interest3,Interest4,Interest5,Interest6,Interest7,Interest8,Activityin,Academically,act1,act2,act3,act4,act5,act6,act7,act8,Faculties
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,80.01 - 100,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,โครงการห้องเรียนพิเศษ,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,60.01 - 80.00,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,มี,มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,วิทยาศาสตร์
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,มี,มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,40.01 - 60.00,0 - 20.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,มี,ไม่มี,เคยเข้าร่วม,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่เคยเข้าร่วม,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",2.01 - 2.50,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,มี,ไม่มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,เคยเข้าร่วม,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,เคย,ไม่เคย,เคย,วิทยาศาสตร์
หญิง,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,40.01 - 60.00,20.01 - 40.00,20.01 - 40.00,20.01 - 40.00,40.01 - 60.00,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,เคยเข้าร่วม,ไม่เคย,ไม่เคย,เคย,ไม่เคย,เคย,เคย,ไม่เคย,เคย,ไม่เคย,วิทยาลัยการบริหารและจัดการ
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,วิทยาลัยการบริหารและจัดการ
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,60.01 - 80.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,เคย,ไม่เคย,วิทยาศาสตร์
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,มี,มี,ไม่มี,มี,มี,มี,มี,มี,       ,       ,ไม่มี,มี,มี,มี,มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,60.01 - 80.00,80.01 - 100,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,วิทยาศาสตร์
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,40.01 - 60.00,60.01 - 80.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,เทคโนโลยีสารสนเทศ
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,20.01 - 40.00,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่เคยเข้าร่วม,เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,วิทยาลัยการบริหารและจัดการ
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,40.01 - 60.00,40.01 - 60.00,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,เคย,เคย,เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",2.51 - 3.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,มี,มี,ไม่มี,มี,ไม่มี,มี,มี,มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.51 - 4.00,60.01 - 80.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,40.01 - 60.00,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,40.01 - 60.00,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาลัยการบริหารและจัดการ
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,40.01 - 60.00,0 - 20.00,40.01 - 60.00,60.01 - 80.00,20.01 - 40.00,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,40.01 - 60.00,40.01 - 60.00,60.01 - 80.00,60.01 - 80.00,60.01 - 80.00,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,วิทยาศาสตร์
ชาย,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",2.51 - 3.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,เคยเข้าร่วม,ไม่เคย,ไม่เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
หญิง,ศิลป์-คำนวณ,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,60.01 - 80.00,20.01 - 40.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,ไม่มี,ไม่เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เทคโนโลยีสารสนเทศ
หญิง,วิทย์-คณิต,"สอบเข้าระบบ tcas , admission , รับตรง",3.01 - 3.50,40.01 - 60.00,20.01 - 40.00,40.01 - 60.00,40.01 - 60.00,20.01 - 40.00,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,ไม่มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,เคยเข้าร่วม,เคย,ไม่เคย,ไม่เคย,ไม่เคย,เคย,เคย,ไม่เคย,ไม่เคย,ไม่เคย,วิทยาศาสตร์
